filepath,label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
images\1\1.d392c64c-c0c4-11ed-9405-8cc84b59e01a.jpg,1,0.42327356458770565,1.0,0.6978073365894212,0.9224262479458774,0.8940568004848064,0.8297708925669862,1.0,0.7626584229710718,0.9912584147444571,0.7367166734508468,0.7260683078520712,0.4952429295070387,0.7389519596699345,0.2716198089189411,0.7524055518476103,0.11986047188727021,0.7503464816003182,0.0,0.42994572353678706,0.49863851611432525,0.6434155283036453,0.5460457355223849,0.7487766458724141,0.7215966932430845,0.765542391456894,0.8304621881526468,0.19017331400678428,0.557719983329082,0.44840700598115985,0.6652059572179625,0.5333499030280046,0.7904317731936449,0.5320507532604624,0.8531362740088978,0.0,0.6443163964209208,0.22261170527512655,0.7051388948941604,0.32380968705774715,0.7827796785705788,0.3419288624440371,0.8175381331897867
images\1\1.d6070104-c0c4-11ed-9152-8cc84b59e01a.jpg,1,0.41933295793929054,1.0,0.6541725109629783,0.9102596894597043,0.8077564481340003,0.799199894891287,0.9047792315459491,0.7322825126377741,1.0,0.7317574686384875,0.5676689975897973,0.49410636861885454,0.5693758770305487,0.27962114903206564,0.5699337171083622,0.12726297210872356,0.5636390200176865,0.0,0.31529918112412497,0.5115587112592713,0.5914908693069656,0.5507511726065911,0.7333839487231918,0.7118587506750387,0.7716800098347886,0.8194328225935775,0.13019542626734873,0.5903050700466644,0.44737507826286255,0.6858380996104882,0.5406066495402144,0.7949917996220283,0.5321735654845873,0.8551575456715842,0.0,0.6946169751570761,0.2611195041092057,0.7470269570877692,0.3860210095052119,0.8166300068390603,0.41820337811395075,0.8546994435332913
images\1\1.d73f3a6f-c0c4-11ed-a9da-8cc84b59e01a.jpg,1,0.40546809209334966,1.0,0.6371544057024372,0.9121366353054686,0.7875199383520307,0.8130733786553889,0.8941049433721889,0.7620118879591313,1.0,0.7646050571146913,0.568823645599654,0.4959375900050697,0.5718622184929908,0.2821249356056091,0.5744537096975945,0.12684505596876533,0.5704750174465336,0.0,0.31815568607865535,0.5123240760587922,0.5767746388727333,0.5580641728793079,0.7232634345917055,0.7302180686951945,0.7633455710152285,0.8440184964734638,0.1328614780234546,0.5935661370680971,0.4334747621017161,0.7033555680493321,0.5253066800821607,0.8226298387876512,0.5118220998352585,0.8820379168497675,0.0,0.70335787013282,0.2466530503053638,0.7694895667018459,0.3615436096383386,0.8462284966218204,0.3749785817741017,0.8807065452326153
images\1\1.d876a963-c0c4-11ed-b2c4-8cc84b59e01a.jpg,1,0.429987248125977,1.0,0.6347810581052835,0.9161625730342412,0.779822748338304,0.8142678104484111,0.8782704635100927,0.7609187609512664,1.0,0.7663022951997077,0.553896736169793,0.50467434622616,0.5625990782619459,0.2910831150819449,0.5637762214622435,0.13301312810479368,0.5581803486329268,0.0,0.3083116359471713,0.5244366740758627,0.570924256564519,0.5721573659585621,0.7100842138417579,0.7386880769730855,0.7434508005002706,0.8520363938059946,0.12960340507513557,0.6063175779565065,0.4276430725337134,0.7050840706412154,0.5146496421080239,0.8168091750200709,0.49411796065608726,0.8717316467609018,0.0,0.7150338573430499,0.26780589944218974,0.7803000518024572,0.36485832306422444,0.8539033977045939,0.3584768710663594,0.8821806254682344
images\1\1.d9acf348-c0c4-11ed-b6a4-8cc84b59e01a.jpg,1,0.4101112762948279,1.0,0.6186914759123577,0.9122131624098423,0.7681831050041299,0.8082210682311615,0.8721017656588135,0.7485932557591134,1.0,0.7470963030273461,0.5562242290731778,0.4954501886500947,0.5600949688454475,0.28444185592662163,0.5624138851578893,0.1292906207563893,0.5519137412158751,0.0,0.3111601845925544,0.5125834492067751,0.580648931854592,0.5620154152334952,0.7173083471122064,0.7306839480724351,0.7421946209631589,0.84196310955529,0.13055735005591765,0.5928908594150221,0.4397648259527302,0.7026080164093057,0.5359485838527254,0.8212504777238391,0.5246675955884089,0.8809283495556152,0.0,0.7021562116296278,0.261936200953216,0.7741321689068865,0.3771179131726225,0.8503319164247555,0.3933156497405008,0.8826880503988486
images\1\1.dae426d3-c0c4-11ed-82b1-8cc84b59e01a.jpg,1,0.5331842730690229,1.0,0.7367789773917153,0.9245623669655447,0.8699448640751598,0.8183791938757182,0.9425870175523605,0.7547946598343818,1.0,0.7484497808479934,0.6313944546793849,0.5046096245202502,0.6166511621423657,0.2909069982059059,0.6046817578844903,0.13062538323213596,0.5898355812404438,0.0,0.3585169289160429,0.5245965352718084,0.5968579193713848,0.5555792405345533,0.7363342525419841,0.7199628587414089,0.7764952296622182,0.832207035161355,0.1549039709614586,0.6067387951697782,0.4335874792033053,0.687667099534031,0.5409228173385607,0.8029642296027599,0.5436704867646234,0.8695601682195525,0.0,0.7175682385463915,0.243967423572873,0.7589340830403393,0.3939571849448027,0.8393816052703839,0.4506864859070346,0.8830638751194858
images\1\1.dc1a5e87-c0c4-11ed-bc61-8cc84b59e01a.jpg,1,0.5488368426860605,1.0,0.7531892458088326,0.9338919967250161,0.8888371579760485,0.8211861401202674,0.9543572200531438,0.7520489085364487,1.0,0.7305297326088992,0.6490160324958881,0.5031954825261675,0.6325239138697817,0.29167502772002313,0.6265144866991416,0.13292242216969005,0.6055420973440322,0.0,0.37665768090200963,0.5214499582716418,0.5982925295540573,0.5359434762029699,0.7498541783805656,0.7149440259889226,0.7763448431695051,0.8266175506969888,0.16502207905721286,0.6031932411925477,0.42059264008071423,0.6569528146535755,0.5668987551300309,0.7859489476938655,0.5815488795819955,0.8571031158492611,0.0,0.7184521086334853,0.22995184821239334,0.7393044218875457,0.3939208587097983,0.8201390417903246,0.443893971480269,0.8602686699794456
images\1\1.dd4df174-c0c4-11ed-a7e7-8cc84b59e01a.jpg,1,0.49847834062893115,1.0,0.7052436179702499,0.9147400527564346,0.8410868252642,0.7921638792280128,0.9123465781843383,0.7083348295025803,1.0,0.6938840303932036,0.5900443256919209,0.4917547081539975,0.5767578528119963,0.2767261250783713,0.570834278920275,0.12633747843255885,0.5589758964404951,0.0,0.3327794093053459,0.513024939053169,0.5672035460553537,0.5381280326489533,0.7180312703327941,0.7114763974242295,0.7630888224722174,0.8249525897333426,0.14226303377246016,0.5957051891282789,0.42599817869522805,0.6764748203111498,0.5479520914029214,0.7984428817692186,0.5612462680746202,0.866766623688936,0.0,0.7053188106319896,0.23885317503753192,0.7465986152921328,0.38365685513886244,0.8254077696262746,0.4262254405525673,0.8681071052237963
images\1\1.de81ec58-c0c4-11ed-acf9-8cc84b59e01a.jpg,1,0.5038139290248971,1.0,0.2799673189633564,0.9398096570069678,0.0730447193279705,0.8147346351198484,0.0,0.7043752213948656,0.0949585460362943,0.6296687168060652,0.27330783865484526,0.4795671275350668,0.2748124538582388,0.2735458601683794,0.29525385330789344,0.12567519698407426,0.3032152332530233,0.0,0.5438940838557597,0.48805186589604427,0.46136761783184743,0.36822394056247604,0.36165210447522006,0.5305364317296238,0.28973464806249116,0.6613911214464403,0.7886881974340044,0.5452743705656024,0.6935392631289148,0.5347165503330329,0.5477915645669625,0.7193890817076297,0.4398530586080837,0.8433191212359814,1.0,0.6425232315482866,0.9171674060762621,0.6356450781053555,0.7687672838990421,0.7838507013972884,0.6525352457994732,0.8838281871836615
images\1\1.dfb80200-c0c4-11ed-a454-8cc84b59e01a.jpg,1,0.508419192447022,1.0,0.28616160560501325,0.9320029833823412,0.09254732487387499,0.8003078324741351,0.0,0.6904050054120211,0.02836710013586348,0.6434937220859454,0.26784853868715974,0.4723597416227786,0.27256711398009414,0.27160281942411957,0.29001830967372405,0.12485412495819644,0.2951895370190657,0.0,0.5323982143656967,0.4755944778822246,0.4038423169270151,0.36691251270843583,0.3067121445120519,0.5474080572624394,0.25505212624309653,0.6990338089278112,0.781787100163009,0.5355731219282558,0.6380588759841959,0.5227848066598442,0.49366083535002153,0.7142054218805107,0.40661794945227064,0.8494523923202553,1.0,0.6378991194396695,0.8877368618929407,0.6239291973137386,0.7313947790962975,0.765204097251448,0.6218604474401067,0.8677418893476757
images\1\1.e0ebdb44-c0c4-11ed-b4c2-8cc84b59e01a.jpg,1,0.49947643421056137,1.0,0.27763041850625214,0.9438097162532038,0.07101044200676239,0.8258181604232574,0.0,0.7320122112741038,0.03380063467364399,0.7038252212807568,0.26334360037408977,0.4932180146909071,0.2613838922919925,0.27460058713577895,0.2867561835384521,0.12253178144620057,0.29434389079989665,0.0,0.5388537772673863,0.5072470828903991,0.386306289983507,0.467165894476893,0.29741867411293565,0.6271717088622254,0.24471971245180663,0.7598589638839881,0.787140531452582,0.5730723675330474,0.6146555789731716,0.6069605966240891,0.4885901292528063,0.7679173718339354,0.4059100319468388,0.8836159193823759,1.0,0.6735038939609462,0.8565090018677843,0.6914645941471184,0.7002505921755557,0.8137205650070377,0.5945355984769964,0.8964786495717348
images\1\1.e2206e0d-c0c4-11ed-96b1-8cc84b59e01a.jpg,1,0.5489213918806543,1.0,0.33799616791236775,0.9476445611531263,0.14933819116908867,0.8164158185274176,0.07008593890550242,0.7150287899048335,0.0,0.6585225300991623,0.3304848484086017,0.5023475819259446,0.32643448526608854,0.27985113955625324,0.3481425194403592,0.12463168103157657,0.3454143900803531,0.0,0.5766725754119871,0.5092935953848089,0.4287950059569714,0.4427266240090441,0.3447910153522539,0.6053869031320082,0.29749882684776197,0.7438616257249075,0.8009830575429601,0.5678693488993017,0.6358183192911518,0.5810956703274506,0.5155856262745843,0.746615263231619,0.43828715999028767,0.8685634824075147,1.0,0.6639054153311507,0.8622348141261368,0.6781152966682528,0.7155241065486427,0.8064750935606547,0.6118111583447293,0.8984739960685123
